06041131100,27
06075010100,32
06075010200,32
06075010300,13
06075010400,24
06075010500,28
06075010600,16
06075010700,21
06075010800,16
06075010900,21
06075011000,31
06075011100,26
06075011200,23
06075011300,12
06075011700,52
06075011800,7
06075011901,4
06075011902,5
06075012000,9
06075012100,13
06075012201,4
06075012202,6
06075012301,10
06075012302,11
06075012401,7
06075012402,23
06075012501,13
06075012502,3
06075012601,2
06075012602,9
06075012700,20
06075012800,19
06075012901,7
06075012902,13
06075013000,13
06075013101,9
06075013102,8
06075013200,16
06075013300,14
06075013400,13
06075013500,15
06075015100,5
06075015200,8
06075015300,10
06075015400,17
06075015500,15
06075015600,8
06075015700,26
06075015801,13
06075015802,7
06075015900,14
06075016000,6
06075016100,13
06075016200,9
06075016300,12
06075016400,8
06075016500,22
06075016600,15
06075016700,13
06075016801,12
06075016802,7
06075016900,20
06075017000,21
06075017101,23
06075017102,19
06075017601,39
06075017700,35
06075017801,6
06075017802,19
06075017902,19
06075018000,25
06075020100,16
06075020200,6
06075020300,14
06075020401,28
06075020402,20
06075020500,18
06075020600,19
06075020700,4
06075020800,7
06075020900,15
06075021000,3
06075021100,12
06075021200,26
06075021300,17
06075021400,13
06075021500,12
06075021600,23
06075021700,36
06075021800,27
06075022600,26
06075022702,12
06075022704,14
06075022801,14
06075022802,9
06075022803,6
06075022901,12
06075022902,6
06075022903,14
06075023001,20
06075023003,12
06075023102,27
06075023103,31
06075023200,29
06075023300,16
06075023400,20
06075025100,14
06075025200,21
06075025300,14
06075025401,11
06075025402,15
06075025403,22
06075025500,29
06075025600,18
06075025701,10
06075025702,24
06075025800,6
06075025900,15
06075026001,18
06075026002,9
06075026003,27
06075026004,6
06075026100,28
06075026200,6
06075026301,13
06075026302,25
06075026303,9
06075026401,11
06075026402,16
06075026403,18
06075026404,8
06075030101,19
06075030102,18
06075030201,11
06075030202,20
06075030301,28
06075030302,22
06075030400,24
06075030500,21
06075030600,22
06075030700,34
06075030800,48
06075030900,45
06075031000,20
06075031100,30
06075031201,21
06075031202,14
06075031301,12
06075031302,18
06075031400,24
06075032601,21
06075032602,8
06075032700,15
06075032801,13
06075032802,13
06075032901,24
06075032902,10
06075033000,27
06075033100,19
06075033201,29
06075033203,12
06075033204,11
06075035100,16
06075035201,16
06075035202,15
06075035300,24
06075035400,30
06075040100,16
06075040200,18
06075042601,4
06075042602,9
06075042700,19
06075042800,5
06075045100,12
06075045200,23
06075047600,16
06075047701,11
06075047702,9
06075047801,17
06075047802,10
06075047901,20
06075047902,10
06075060100,19
06075060400,31
06075060502,13
06075060700,50
06075061000,25
06075061100,16
06075061200,28
06075061400,38
06075061500,75
06075980200,5
06075980300,47
06075980501,21
06075980600,4
06075980900,59
06081600200,9
06081600700,8
Nan,37
